"StudyID","Species","Taxon.group","Endo.Ecto","Trait.Name","Fitness.Measure.Defined","linear.coefs","linear.coefs.se","grad.diff","elevation","abs.Lat","Genus","family","order","class"
15,"Parus caeruleus","V","Endo","chick tarsus length","survival (recruitment to the breeding population)",-0.332686522,0.39567515,"grad",232,43.6667,"Parus","Paridae","Passeriformes","Ave"
61,"Negaprion brevirostris","V","Ecto","growth","survival",-0.33,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
132,"Anolis sagrei","V","Ecto","hindlimb X forlimb length","survival",-0.32,0.15,"grad",-1,23.4833,"Anolis","Dactyloidae","Squamata","Reptilia"
112,"Zosterops lateralis chlorocephalus","V","Endo","tail","survival",-0.32,0.2,"grad",-17,23.4333,"Zosterops","Zosteropidae","Passeriformes","Ave"
11,"Calopteryx splendens","I","Ecto","Hindwing length","Minimum lifespan in field (a measure of survival), H_je «_Å population",-0.294091,NA,"grad",10,55.7,"Calopteryx","Calopterygidae","Odonata","Insecta"
75,"Salmo salar","V","Ecto","body length (immature + mature fish)","Age-2 winter survival",-0.28,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
61,"Negaprion brevirostris","V","Ecto","body length","survival",-0.27,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
75,"Salmo salar","V","Ecto","body length (immature fish)","Age-2 winter survival",-0.27,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
15,"Parus caeruleus","V","Endo","chick tarsus length","survival (recruitment to the breeding population)",-0.261218811,0.3534121,"grad",29,42.5667,"Parus","Paridae","Passeriformes","Ave"
61,"Negaprion brevirostris","V","Ecto","growth","survival",-0.26,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
67,"Ovis aries","V","Endo","body weight -  adult males","survival",-0.253,0.22,"grad",121,57.814,"Ovis","Bovidae","Artiodactyla","Mammalia"
